DPT_CD,DPT_DSC,AGY_TYPE,OWNER_CD,OWNER_DSC,FPAP_CD,FPAP_DSC,AREA_CD,AREA_DSC,PS,MOOE,CO,NET

ARF,Agrarian Reform Fund,SPF,ARF,Agrarian Reform Fund,C.01,        For the Requirements of the Comprehensive Agrarian Reform Program,0,CO,,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.01.a.01,"                  General management and supervision, including P150,000,000 for confidential and intelligence expenses to be released upon approval of the President",140,Nationwide,346079,923166,32990
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.01.a.02,                  Maintenance and operation of Malacanang grounds and facilities including guesthouses,140,Nationwide,38907,28262
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03,        Operations,140,Nationwide,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.a,            Advisory and Consultative Council,140,Nationwide,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.a.01,                  Advisory and consultative council,140,Nationwide,13764,10349
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.a.02,"                  Professional, technical and expert services",140,Nationwide,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.b,            Public Assistance Services,140,Nationwide,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.b.01,                  Operational requirements of the Presidential Action Center,140,Nationwide,13001,7224
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.c,            Conduct of Special Missions,140,Nationwide,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.c.01,                  Conduct of special missions as may be directed  by the President,140,Nationwide,,6762
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.c.02,                  Provision for local/foreign visit of the President,140,Nationwide,,248792
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.d,"            Provision of Presidential Escort, Civilian and Aide-de-Camp Services",140,Nationwide,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.d.01,"                  Provision of presidential escort,civilian and aide-de-camp services",140,Nationwide,,20000
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.f,            Clinical Services,140,Nationwide,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.03.f.01,                  Operational requirements for clinical services,140,Nationwide,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01,        Locally-Funded Projects,140,Nationwide,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.a,"            Repair/Maintenance, Purchase of Air Transportation Equipment",0,CO,,300000
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.b,            Mindanao Economic Development Council,140,Nationwide,27218,24454
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.c,            Office of North Luzon Quadrangle Area,0,CO,7710,12321
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.d,            Office of the Presidential Adviser on the Peace Process,140,Nationwide,40248,70998
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.e,            Office of External Affairs,0,CO,17829,26111
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.f,            Presidential Anti-Graft Commission,140,Nationwide,17156,4905
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.g,            Presidential Anti-Organized Crime Commission,0,CO,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.g.01,"                  Presidential Anti-Organized Crime Commission Proper, including P500,000,000 for confidential and intelligence expenses to be released upon approval of the President",140,Nationwide,12047,509143
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.g.02,                  Office of the Special Envoy on Transnational Crime,140,Nationwide,1774,12283
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.g.03,                  National Anti-Environment Crime Task Force,0,CO,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.h,            Presidential Visiting Forces Agreement Commission,0,CO,1748,5340
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.i,            Commission on Information and Communications Technology,0,CO,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.i.01,                  Office of the Chairman,0,CO,10091,13299
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.i.02,                  National Computer Center,0,CO,49571,34897
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.i.03,                  National Telecommunications Office,0,CO,118922,63266
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.i.04,                  Telecommunications Office,0,CO,829597,180470
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.j,            EDSA People Power Commission,0,CO,,3379
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.k,            Minerals Development Council,0,CO,4618,7743
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.l,            Commission on Maritime and Ocean Affairs,0,CO,2500,6789
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.m,            Presidential Anti-Smuggling Group,0,CO,1279,61447
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.n,            Luzon Urban Beltway Super Region,0,CO,3100,5413
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.o,            Bicol River Basin Watershed Management Project,0,CO,10000,10314
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.p,            Office of the Presidential Adviser for New Governmnt Center,0,CO,2100,15000
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,B.01.q,            Office of the Presidential Adviser on Global Warming and Climate Change,0,CO,11000,34000
OVP,Office of the Vice-President,DEPARTMENT,OVP,Office of the Vice-President,A.01,        General Administration and Support,0,CO,,
OVP,Office of the Vice-President,DEPARTMENT,OVP,Office of the Vice-President,A.01.a,            General Administration and Support Services,0,CO,,
OVP,Office of the Vice-President,DEPARTMENT,OVP,Office of the Vice-President,A.01.a.01,                  General Management and Supervision,0,CO,16007,21239
OVP,Office of the Vice-President,DEPARTMENT,OVP,Office of the Vice-President,A.01.b,            Productivity Incentive Benefits,0,CO,,
OVP,Office of the Vice-President,DEPARTMENT,OVP,Office of the Vice-President,A.03,        Operation,0,CO,,
OVP,Office of the Vice-President,DEPARTMENT,OVP,Office of the Vice-President,A.03.a,            Ceremonial Functions and Technical Services,0,CO,,
OVP,Office of the Vice-President,DEPARTMENT,OVP,Office of the Vice-President,A.03.a.01,"                  Ceremonial functions and technical services, including P6,000,000 for confidential and intelligence expenses to be released upon approval of the President",0,CO,17536,130240
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01,        General Administration and Support,140,Nationwide,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a,            General Administration and Support Services,140,Nationwide,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.01,                  General Management and Supervision,140,Nationwide,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.01.a,                      Central Office,0,CO,64033,17252
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02,                  Regional Offices,140,Nationwide,,
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.a,                      Region I,10,Region I,7438,456
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.b,                      Cordillera Administrative Region,11,Cordillera Administrative Region,7323,381
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.c,                      Region II,20,Region II,7174,752
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.d,                      Region III,30,Region III,6424,1664
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.e,                      Region IV,40,Region IV,6647,1077
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.f,                      Region V,50,Region V,6839,1088
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.g,                      Region VI,60,Region VI,8911,910
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.h,                      Region VII,70,Region VII,7202,628
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.i,                      Region VIII,80,Region VIII,8014,557
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.j,                      Region IX,90,Region IX,7093,746
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.k,                      Region X,100,Region X,7652,681
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.l,                      Region XI,110,Region XI,5130,293
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.m,                      Region XII,120,Region XII,9575,474
DAR,Department of Agrarian Reform,AGENCY,OSEC-DAR,Office of the Secretary,A.01.a.02.n,                      Region XIII,180,Region XIII,5151,507
